,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1664,569631041356320768,positive,0.6697,,,United,,scottdraeger,,0,@united I trust you enough to put my coat in my checked bag!,,2015-02-22 14:53:18 -0800,Chicagoland,Central Time (US & Canada)
827,570063224328081408,negative,1.0,Flight Attendant Complaints,1.0,United,,hellojennizzle,,0,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool",,2015-02-23 19:30:38 -0800,Cornfields,London
9389,569959365236690945,negative,1.0,Bad Flight,0.4039,US Airways,,joyadventuremom,,0,@USAirways I need to speak with a customer service agent today between 5-8pm  I had an unfortunate incident of discrimination today.,,2015-02-23 12:37:56 -0800,,
9820,569651459152859137,negative,1.0,Late Flight,0.6915,US Airways,,toddliveonfire,,0,@USAirways pilot for flight 729 didn't show until after departure ⌚️ &amp; now there's a broken computer. Next time flying @United. #ALWAYSLate Flight,,2015-02-22 16:14:26 -0800,"H-Town Houston, Texas",Eastern Time (US & Canada)
13117,569936893166489600,negative,1.0,Can't Tell,0.7044,American,,maxfitgirl29,,0,@AmericanAir now you're sending a gate agent to talk to us? Joke of an airline. Thanks for ruining my vacation. #neverflyAAagain,,2015-02-23 11:08:38 -0800,"Chicago, IL",Eastern Time (US & Canada)
5511,568929816797323265,neutral,0.6522,,0.0,Southwest,,davidgoodson71,,1,@SouthwestAir just do it that easy,,2015-02-20 16:26:53 -0800,,
4535,570054105789550592,positive,1.0,,,Southwest,,funksway,,0,@SouthwestAir great day in the air. http://t.co/YNc2ZUt4zz,,2015-02-23 18:54:24 -0800,"Panama City, Florida",Central Time (US & Canada)
13252,569906035269324800,negative,1.0,Customer Service Issue,1.0,American,,_mhertz,,0,@AmericanAir @united just deplaned at O'Hare gate K13. Why don't you send a customer service rep to discuss my situation? God knows...,,2015-02-23 09:06:01 -0800,,Pacific Time (US & Canada)
4758,569868010665611265,negative,1.0,Bad Flight,0.7081,Southwest,,Matwork21,,0,@southwestair does anyone realize that banning peanuts on a flight due to an allergic person ignores p-nut oil &amp; dust from previous flights?,,2015-02-23 06:34:56 -0800,Las Vegas,Pacific Time (US & Canada)
9385,569960024455454721,negative,1.0,Customer Service Issue,1.0,US Airways,,Bachelorsaurus,,0,"@USAirways customer service failure aside, one would think you guys would care about inaccurate manifests. I'm sure TSA would.",,2015-02-23 12:40:33 -0800,"Arlington, VA",Quito
7543,569538002025779200,neutral,0.6658,,0.0,Delta,,jackburke,,0,@JetBlue 795 to Austin,,2015-02-22 08:43:35 -0800,austin,Eastern Time (US & Canada)
13749,569727488131092481,negative,1.0,Customer Service Issue,1.0,American,,cstuckinahole,,0,@AmericanAir your customer service is a disgrace.,,2015-02-22 21:16:32 -0800,,Central Time (US & Canada)
9889,569625053916061696,positive,1.0,,,US Airways,,sleenieto,,1,@USAirways provided the best service for me today! Thank you so much :),,2015-02-22 14:29:30 -0800,Tampa,Eastern Time (US & Canada)
1424,569724119748636672,negative,1.0,Can't Tell,0.6714,United,,hart0277,,0,"@united love how you don't give a shit about people who tried to be loyal, but you screw them every way till Sunday. Glad I've stayed away",,2015-02-22 21:03:09 -0800,Chicago,
6612,567758165287002112,neutral,0.6526,,0.0,Southwest,,stephwalker78,,0,@SouthwestAir RDU flights expected to be ok this afternoon and tonight?,,2015-02-17 10:51:09 -0800,Southern Virginia!!!!!!,
10848,568825563126865922,neutral,1.0,,,US Airways,,exilauren,,0,@USAirways what is your policy around bringing a breast pump on board?,,2015-02-20 09:32:37 -0800,"Washington, DC via Boston",Central Time (US & Canada)
11694,567811918711504896,neutral,1.0,,,US Airways,,Brandy_Fisher,,0,"@USAirways I will be traveling from LAX to CLT to HTS, I have been rebooked for tomorrow due to the travel advisory.",,2015-02-17 14:24:45 -0800,Miss California United States,Eastern Time (US & Canada)
7395,569627675557384192,neutral,0.672,,0.0,Delta,,Tom_Constantin,,0,@JetBlue flight 2008,,2015-02-22 14:39:55 -0800,3Ø4 ,Quito
